Sr.No,State,Year,Month,Value
266,TELANGANA,1923,FEB,5.3
267,TELANGANA,1923,MAR,23.3
268,TELANGANA,1923,APR,10.7
269,TELANGANA,1923,MAY,18.0
270,TELANGANA,1923,JUN,43.5
271,TELANGANA,1923,JUL,222.8
272,TELANGANA,1923,AUG,80.3
273,TELANGANA,1923,SEP,334.4
274,TELANGANA,1923,OCT,44.0
275,TELANGANA,1923,NOV,1.0
276,TELANGANA,1923,DEC,0.0
277,TELANGANA,1924,JAN,37.0
278,TELANGANA,1924,FEB,0.0
279,TELANGANA,1924,MAR,0.0
280,TELANGANA,1924,APR,9.2
281,TELANGANA,1924,MAY,34.6
282,TELANGANA,1924,JUN,62.8
283,TELANGANA,1924,JUL,124.7
284,TELANGANA,1924,AUG,220.2
285,TELANGANA,1924,SEP,288.2
286,TELANGANA,1924,OCT,51.6
287,TELANGANA,1924,NOV,116.1
288,TELANGANA,1924,DEC,0.0
289,TELANGANA,1925,JAN,0.0
290,TELANGANA,1925,FEB,0.0
291,TELANGANA,1925,MAR,0.0
292,TELANGANA,1925,APR,49.8
293,TELANGANA,1925,MAY,97.8
294,TELANGANA,1925,JUN,168.1
295,TELANGANA,1925,JUL,266.2
296,TELANGANA,1925,AUG,239.2
297,TELANGANA,1925,SEP,148.1
298,TELANGANA,1925,OCT,187.5
299,TELANGANA,1925,NOV,8.1
300,TELANGANA,1925,DEC,3.1
301,TELANGANA,1926,JAN,46.1
302,TELANGANA,1926,FEB,2.0
303,TELANGANA,1926,MAR,24.0
304,TELANGANA,1926,APR,48.8
305,TELANGANA,1926,MAY,24.0
306,TELANGANA,1926,JUN,74.7
307,TELANGANA,1926,JUL,227.3
308,TELANGANA,1926,AUG,205.1
309,TELANGANA,1926,SEP,70.5
310,TELANGANA,1926,OCT,41.0
311,TELANGANA,1926,NOV,0.0
312,TELANGANA,1926,DEC,0.0
313,TELANGANA,1927,JAN,9.6
314,TELANGANA,1927,FEB,11.0
315,TELANGANA,1927,MAR,4.6
316,TELANGANA,1927,APR,2.0
317,TELANGANA,1927,MAY,14.3
318,TELANGANA,1927,JUN,248.3
319,TELANGANA,1927,JUL,266.0
320,TELANGANA,1927,AUG,158.5
321,TELANGANA,1927,SEP,142.4
322,TELANGANA,1927,OCT,59.9
323,TELANGANA,1927,NOV,89.0
324,TELANGANA,1927,DEC,0.0
325,TELANGANA,1928,JAN,0.0
326,TELANGANA,1928,FEB,15.8
327,TELANGANA,1928,MAR,47.3
328,TELANGANA,1928,APR,4.5
329,TELANGANA,1928,MAY,27.9
330,TELANGANA,1928,JUN,143.9
331,TELANGANA,1928,JUL,248.6
332,TELANGANA,1928,AUG,191.6
333,TELANGANA,1928,SEP,215.2
334,TELANGANA,1928,OCT,104.1
335,TELANGANA,1928,NOV,0.0
336,TELANGANA,1928,DEC,7.4
337,TELANGANA,1929,JAN,5.3
338,TELANGANA,1929,FEB,64.8
339,TELANGANA,1929,MAR,0.0
340,TELANGANA,1929,APR,21.7
341,TELANGANA,1929,MAY,2.8
342,TELANGANA,1929,JUN,146.0
343,TELANGANA,1929,JUL,115.0
344,TELANGANA,1929,AUG,142.2
345,TELANGANA,1929,SEP,232.5
346,TELANGANA,1929,OCT,35.9
347,TELANGANA,1929,NOV,0.0
348,TELANGANA,1929,DEC,24.5
349,TELANGANA,1930,JAN,0.0
350,TELANGANA,1930,FEB,14.7
351,TELANGANA,1930,MAR,5.4
352,TELANGANA,1930,APR,13.5
353,TELANGANA,1930,MAY,1.7
354,TELANGANA,1930,JUN,184.9
355,TELANGANA,1930,JUL,131.1
356,TELANGANA,1930,AUG,144.7
357,TELANGANA,1930,SEP,215.6
358,TELANGANA,1930,OCT,60.0
359,TELANGANA,1930,NOV,64.3
360,TELANGANA,1930,DEC,0.0
361,TELANGANA,1931,JAN,0.3
362,TELANGANA,1931,FEB,5.1
363,TELANGANA,1931,MAR,4.0
364,TELANGANA,1931,APR,13.3
365,TELANGANA,1931,MAY,25.9
366,TELANGANA,1931,JUN,187.3
367,TELANGANA,1931,JUL,368.6
368,TELANGANA,1931,AUG,155.9
369,TELANGANA,1931,SEP,288.1
370,TELANGANA,1931,OCT,107.4
371,TELANGANA,1931,NOV,25.5
372,TELANGANA,1931,DEC,1.6
373,TELANGANA,1932,JAN,0.0
374,TELANGANA,1932,FEB,40.3
375,TELANGANA,1932,MAR,1.3
376,TELANGANA,1932,APR,17.6
377,TELANGANA,1932,MAY,25.8
378,TELANGANA,1932,JUN,119.7
379,TELANGANA,1932,JUL,300.4
380,TELANGANA,1932,AUG,179.0
381,TELANGANA,1932,SEP,172.9
382,TELANGANA,1932,OCT,32.0
383,TELANGANA,1932,NOV,60.9
384,TELANGANA,1932,DEC,0.0
385,TELANGANA,1933,JAN,12.9
386,TELANGANA,1933,FEB,17.4
387,TELANGANA,1933,MAR,15.7
388,TELANGANA,1933,APR,25.0
389,TELANGANA,1933,MAY,63.4
390,TELANGANA,1933,JUN,332.0
391,TELANGANA,1933,JUL,243.4
392,TELANGANA,1933,AUG,226.7
393,TELANGANA,1933,SEP,262.2
394,TELANGANA,1933,OCT,128.9
395,TELANGANA,1933,NOV,24.0
396,TELANGANA,1933,DEC,44.5
397,TELANGANA,1934,JAN,0.1
398,TELANGANA,1934,FEB,0.0
399,TELANGANA,1934,MAR,0.1
400,TELANGANA,1934,APR,18.3
401,TELANGANA,1934,MAY,1.2
402,TELANGANA,1934,JUN,111.7
403,TELANGANA,1934,JUL,296.9
404,TELANGANA,1934,AUG,280.2
405,TELANGANA,1934,SEP,162.3
406,TELANGANA,1934,OCT,15.2
407,TELANGANA,1934,NOV,42.0
408,TELANGANA,1934,DEC,0.0
409,TELANGANA,1935,JAN,16.2
410,TELANGANA,1935,FEB,3.4
411,TELANGANA,1935,MAR,1.4
412,TELANGANA,1935,APR,42.2
413,TELANGANA,1935,MAY,2.7
414,TELANGANA,1935,JUN,115.1
415,TELANGANA,1935,JUL,309.7
416,TELANGANA,1935,AUG,162.9
417,TELANGANA,1935,SEP,198.3
418,TELANGANA,1935,OCT,43.5
419,TELANGANA,1935,NOV,2.6
420,TELANGANA,1935,DEC,0.5
421,TELANGANA,1936,JAN,2.5
422,TELANGANA,1936,FEB,79.1
423,TELANGANA,1936,MAR,15.3
424,TELANGANA,1936,APR,8.4
425,TELANGANA,1936,MAY,73.7
426,TELANGANA,1936,JUN,200.0
427,TELANGANA,1936,JUL,268.9
428,TELANGANA,1936,AUG,220.9
429,TELANGANA,1936,SEP,128.4
430,TELANGANA,1936,OCT,96.4
431,TELANGANA,1936,NOV,48.2
432,TELANGANA,1936,DEC,15.1
433,TELANGANA,1937,JAN,0.0
434,TELANGANA,1937,FEB,33.2
435,TELANGANA,1937,MAR,28.6
436,TELANGANA,1937,APR,105.6
437,TELANGANA,1937,MAY,3.0
438,TELANGANA,1937,JUN,77.8
439,TELANGANA,1937,JUL,285.8
440,TELANGANA,1937,AUG,102.4
441,TELANGANA,1937,SEP,153.6
442,TELANGANA,1937,OCT,72.1
443,TELANGANA,1937,NOV,0.9
444,TELANGANA,1937,DEC,3.0
445,TELANGANA,1938,JAN,0.0
446,TELANGANA,1938,FEB,41.3
447,TELANGANA,1938,MAR,14.2
448,TELANGANA,1938,APR,16.6
449,TELANGANA,1938,MAY,27.8
450,TELANGANA,1938,JUN,226.3
451,TELANGANA,1938,JUL,331.6
452,TELANGANA,1938,AUG,256.5
453,TELANGANA,1938,SEP,201.9
454,TELANGANA,1938,OCT,59.2
455,TELANGANA,1938,NOV,0.0
456,TELANGANA,1938,DEC,0.0
457,TELANGANA,1939,JAN,0.0
458,TELANGANA,1939,FEB,0.0
459,TELANGANA,1939,MAR,22.0
460,TELANGANA,1939,APR,16.7
461,TELANGANA,1939,MAY,3.0
462,TELANGANA,1939,JUN,73.5
463,TELANGANA,1939,JUL,173.2
464,TELANGANA,1939,AUG,202.5
465,TELANGANA,1939,SEP,107.1
466,TELANGANA,1939,OCT,130.3
467,TELANGANA,1939,NOV,11.8
468,TELANGANA,1939,DEC,0.0
469,TELANGANA,1940,JAN,0.0
470,TELANGANA,1940,FEB,0.5
471,TELANGANA,1940,MAR,11.4
472,TELANGANA,1940,APR,33.6
473,TELANGANA,1940,MAY,91.4
474,TELANGANA,1940,JUN,128.5
475,TELANGANA,1940,JUL,345.8
476,TELANGANA,1940,AUG,281.5
477,TELANGANA,1940,SEP,94.7
478,TELANGANA,1940,OCT,64.9
479,TELANGANA,1940,NOV,22.2
480,TELANGANA,1940,DEC,8.1
481,TELANGANA,1941,JAN,16.6
482,TELANGANA,1941,FEB,3.3
483,TELANGANA,1941,MAR,4.8
484,TELANGANA,1941,APR,4.8
485,TELANGANA,1941,MAY,17.5
486,TELANGANA,1941,JUN,121.4
487,TELANGANA,1941,JUL,87.9
488,TELANGANA,1941,AUG,149.9
489,TELANGANA,1941,SEP,137.5
490,TELANGANA,1941,OCT,49.6
491,TELANGANA,1941,NOV,0.7
492,TELANGANA,1941,DEC,0.4
493,TELANGANA,1942,JAN,0.0
494,TELANGANA,1942,FEB,23.0
495,TELANGANA,1942,MAR,0.2
496,TELANGANA,1942,APR,31.7
497,TELANGANA,1942,MAY,30.9
498,TELANGANA,1942,JUN,160.0
499,TELANGANA,1942,JUL,250.1
500,TELANGANA,1942,AUG,277.3
501,TELANGANA,1942,SEP,107.4
502,TELANGANA,1942,OCT,20.9
503,TELANGANA,1942,NOV,3.9
504,TELANGANA,1942,DEC,1.6
505,TELANGANA,1943,JAN,15.2
506,TELANGANA,1943,FEB,0.6
507,TELANGANA,1943,MAR,1.7
508,TELANGANA,1943,APR,34.4
509,TELANGANA,1943,MAY,26.9
510,TELANGANA,1943,JUN,180.4
511,TELANGANA,1943,JUL,179.3
512,TELANGANA,1943,AUG,133.4
513,TELANGANA,1943,SEP,262.2
514,TELANGANA,1943,OCT,62.7
515,TELANGANA,1943,NOV,2.6
516,TELANGANA,1943,DEC,0.0
517,TELANGANA,1944,JAN,0.0
518,TELANGANA,1944,FEB,13.7
519,TELANGANA,1944,MAR,82.3
520,TELANGANA,1944,APR,5.4
521,TELANGANA,1944,MAY,15.7
522,TELANGANA,1944,JUN,114.5
523,TELANGANA,1944,JUL,224.1
524,TELANGANA,1944,AUG,142.4
525,TELANGANA,1944,SEP,207.7
526,TELANGANA,1944,OCT,131.9
527,TELANGANA,1944,NOV,22.7
528,TELANGANA,1944,DEC,0.0
529,TELANGANA,1945,JAN,4.3
530,TELANGANA,1945,FEB,0.0
531,TELANGANA,1945,MAR,0.0
532,TELANGANA,1945,APR,39.0
533,TELANGANA,1945,MAY,11.2
534,TELANGANA,1945,JUN,144.5
535,TELANGANA,1945,JUL,332.1
536,TELANGANA,1945,AUG,238.4
537,TELANGANA,1945,SEP,159.1
538,TELANGANA,1945,OCT,94.1
539,TELANGANA,1945,NOV,4.8
540,TELANGANA,1945,DEC,0.0
541,TELANGANA,1946,JAN,0.0
542,TELANGANA,1946,FEB,15.9
543,TELANGANA,1946,MAR,5.2
544,TELANGANA,1946,APR,21.7
545,TELANGANA,1946,MAY,14.5
546,TELANGANA,1946,JUN,152.1
547,TELANGANA,1946,JUL,287.2
548,TELANGANA,1946,AUG,149.5
549,TELANGANA,1946,SEP,85.0
550,TELANGANA,1946,OCT,30.7
551,TELANGANA,1946,NOV,57.5
552,TELANGANA,1946,DEC,3.6
